name,tag,avg_cost,description,lat,lon,opening_hours,address,image_url1,image_url2
Nhà thờ Đức Bà,religious,0,"Catholic church built with French bricks in the 1880s, featuring 58m-high Romanesque bell towers.",10.7797908,106.696444,24/7,"01 Công trường Công xã Paris, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",https://cdn.xanhsm.com/2024/11/f5d8fc3e-nha-tho-duc-ba-thumbnail-min-1-1024x576.jpg,https://static.vinwonders.com/production/nha-tho-duc-ba-topbanner.jpg
Bưu điện Trung tâm Sài Gòn,landmark,0,"Massive central post office completed in 1891, featuring a grand domed hall and time-worn paintwork.",10.7699185,106.6634209,7:00 – 19:00,"02 Công trường Công xã Paris, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",https://static.vinwonders.com/production/buu-dien-trung-tam-sai-gon-banner.jpg,https://www.vietnamairlines.com/~/media/SEO-images/2025%20SEO/Traffic%20TA/MN/saigon%20central%20post/saigon-central-post_thumb.jpg
Dinh Độc Lập,landmark,50000,"Historical relic of the Vietnam War allowing visitors to see government offices, command rooms, and artifacts.",10.7769942,106.6953021,7:30 – 16:00,"Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://vcdn1-dulich.vnecdn.net/2025/04/18/z6516648694973-259df00d1deba791e372e54b802daf3f-1744946004-1744947493.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=gC7OZjv7APkYrENRF0QaDg,https://statics.vinpearl.com/dinh-doc-lap-1_1624804960.jpg
Phố đi bộ Nguyễn Huệ,cultural,0,"Nguyen Hue Walking Street is located in the heart of Saigon, over 670m long and 64m wide, a primary gathering spot for people in Saigon.",10.7739992,106.6944339,24/7,"Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://static.vinwonders.com/production/pho-di-bo-nguyen-hue-o-dau-1.jpg,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/09/1-6.jpg
Bitexco Tower – Skydeck,viewpoint,250000,"Famous 68-story skyscraper with an observation deck, dining area, cinema, and retail stores.",10.7719839,106.7043912,9:30 – 21:30,"Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://seaproperty.vn/wp-content/uploads/2024/09/toa-nha-bitexco-2.jpg,https://bitexco.com.vn/wp-content/uploads/2019/01/8.jpg
Bảo tàng Chứng tích Chiến tranh,museum,40000,"Memorial museum displaying photos, weapons, & other artifacts from the wars in Vietnam & Indochina.",10.7795159,106.6895167,7:30 – 17:30,"Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam","https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1200,h_630/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/rhs9bb4z1ztznp7tsevc/V%C3%A9%20B%E1%BA%A3o%20T%C3%A0ng%20Ch%E1%BB%A9ng%20T%C3%ADch%20Chi%E1%BA%BFn%20Tranh%20TP.%20H%E1%BB%93%20Ch%C3%AD%20Minh.jpg",https://a.travel-assets.com/findyours-php/viewfinder/images/res70/554000/554816-war-remnants-museum-ho-chi-minh-city.jpg
Bảo tàng Mỹ Thuật,museum,30000,The Ho Chi Minh City Museum of Fine Arts has always been a famous destination for cultural and artistic exploration in Saigon.,10.7700215,106.6966108,8:00 – 17:00,"97A Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://static.vinwonders.com/production/bao-tang-my-thuat-thanh-pho-ho-chi-minh-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/B%E1%BA%A3o_t%C3%A0ng_M%E1%BB%B9_thu%E1%BA%ADt_TP.jpg/250px-B%E1%BA%A3o_t%C3%A0ng_M%E1%BB%B9_thu%E1%BA%ADt_TP.jpg
Công viên Tao Đàn,park,0,"Large green park with meticulously manicured gardens, pagodas, playgrounds & sports facilities.",10.7756001,106.6736258,24/7,"Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",https://upload.wikimedia.org/wikipedia/commons/5/54/C%C3%B4ng_vi%C3%AAn_Tao_%C4%90%C3%A0n.jpg,https://static.vinwonders.com/production/cong-vien-tao-dan-banner.jpg
Thảo Cầm Viên,zoo,65000,"Rustic zoo with a variety of animals, including giraffes, camels, elephants, and snakes.",10.7873397,106.7024817,7:00 – 18:30,"2 Nguyễn Bỉnh Khiêm, Phường Sài Gòn, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",https://static.vinwonders.com/production/thao-cam-vien-1.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMuCHtJlPSdcML4CmH7RAK4549h7Vl0GuxYg&s
Nhà hát Thành phố,landmark,800000,"Elaborate 19th-century French colonial opera house, now the city's venue for ballet and symphony performances.",10.7766181,106.7005966,9:00 – 22:00,"07 Công trường Lam Sơn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 710212, Việt Nam",https://static.vinwonders.com/production/nha-hat-thanh-pho-banner-min.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/%C3%93pera%2C_Ciudad_Ho_Chi_Minh%2C_Vietnam%2C_2013-08-14%2C_DD_02.JPG
