name,tag,avg_cost,description,lat,lon,address,opening_hours,image_url1,rating,reviews,extra_website,extra_phone
Olive Coffee Him Lam Quận 6 | Coffee Him Lam | Coffee Quận 6,Coffee shop,60000,"A calm, modern coffee spot in the Him Lam residential area. Ideal for a peaceful start to the day or a quiet evening retreat.",10.74688666489307,106.63781155527857,"Chung cư him lam 491, Đ. Hậu Giang, District 6, Ho Chi Minh City",6:30 - 22:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxP288ZOsDtgl4vVEkPkx3W2lyRVnkVudiwBvrM0Tzpml220YBUwar0Al9R1gG6hlNhcy0L_rpdAIJzDsGUqLsd1skOrPX4BEWM1xl1IJVT63JjbSsV0cVvp7HyXZ0I0kOGcB2SAKHaJIvg=w408-h306-k-no,4.9,55,https://olivecafequan6.com/,+84 934 433 337
Bill & Ball Coffee-Tea,Coffee shop,100000,"A lively venue serving a diverse menu of coffee, tea, and popular trendy beverages. A fun, energetic meeting spot.",10.74328568613884,106.6468397269857,"Căn hộ Viva Riverside, Bill & Ball Coffee-Tea Shophouse 1.20-1.21 Chung cư, 445-449 Đ. Gia Phú, District 6, Ho Chi Minh City",7:30 - 22:00,https://lh3.googleusercontent.com/p/AF1QipOgALvNIPmxDme2cJy-dbr1BJCkR7Bih5rlDwux=w408-h544-k-no,5,72,,+84 767 609 866
GON COFFEE,Coffee shop,100000,"Focuses on high-quality beans and precise brewing techniques. A clean, minimalist space for serious coffee drinkers.",10.745875621485824,106.63717307062146,"240/35G Đ. Nguyễn Văn Luông, District 6, Ho Chi Minh City",8:00 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwpnDi6ccagefMTt1IjTAWR-XH0qqfJN7eCnueRJ_Z_IO3cqrL9cnwKNM_dZgJ5pqyA0z-B5HpL3OzQ7E05oX1zkyiDlLnGQEJPgEGVe9FADYfKq8jVW7ysl-O_B-QYRhfsoiW8WA=w408-h306-k-no,4.7,59,,+84 989 169 998
BIYOKI Family & Kids Coffee,Coffee shop,200000,"A unique concept where parents can relax with coffee while children enjoy a dedicated, safe play area.",10.757245034329499,106.64434013993575,"304 Đ. Minh Phụng, District 11, Ho Chi Minh City",9:00 - 21:00,https://lh3.googleusercontent.com/p/AF1QipPbBVpPn02fQUa_RwqVPfO3oGLGLDRi8FFfy31v=w408-h272-k-no,4.9,622,http://facebook.com/BIYOKIcoffee,+84 28 6684 5628
COCEVI Ba Tháng Hai - Coffee and Board Game,Coffee shop,100000,"The ultimate destination for coffee lovers who also enjoy tabletop games. Perfect for social groups and fun, late-night entertainment.",10.754903695133015,106.64457610500719,"1583 Đ. 3 Tháng 2, District 11, Ho Chi Minh City",10:00 - 23:00,https://lh3.googleusercontent.com/p/AF1QipNrqOe8zK2aiRKdzYyWSSI6w1t6EoUhsFdWJpA=w408-h508-k-no,4.7,200,https://zalo.me/2151669280557205184,+84 868 483 023
Uhmm - Matcha & Coffee,Coffee shop,100000,"Specializes in blending modern coffee concepts with traditional Japanese matcha, offering refreshing and unique fusion drinks.",10.757880914566037,106.64658051480004,"112/1c Thái Phiên, District 11, Ho Chi Minh City",8:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwK2CmIcAVWAKYpAidqEhQx4_jcTTXZ2pPlhuq9h-fb9xx511YuZAvmDpVyg5ywSUcY4v5ajgLWNtGNN-E9NgBfJ9iJwZmQ-gPxWXUDc3rgFIPGbKFovPrZg-kJ3kUTsR4J2dEsyw=w408-h544-k-no,5,16,,
DREAM JULY Coffee,Coffee shop,100000,"A charming cafe designed with a specific, romantic summer theme. Great for dates or quiet contemplation.",10.75459723962747,106.64399281904285,"648 650 Đ. Hồng Bàng, District 11, Ho Chi Minh City",8:00 - 22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9QyDg4pTS7g7_pKHAgcbsrc4lVBusIj5VroaN5olR_Tbcl2bqxjaL9a3kkNuKLUqYjslqdNw-A5Fly9VYQpmAWx-bfJIxf3X_IwRovmeJ-Y_vwFGphUGW8esHDCCLUZLnVwIr=w408-h306-k-no,4.4,157,http://dreamjulycoffee.com/,+84 971 770 171
HOLA Cake & Coffee,Coffee shop,60000,An elegant spot where rich desserts meet Italian-style coffee. Ideal for afternoon tea and sweet indulgence.,10.743923659544002,106.64261546507146,"25 Đ. Văn Thân, District 6, Ho Chi Minh City",9:00 - 21:30,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzjFAnaDWzFEWuRmut0aAH8L7EuBaoVDDi9jJkxsTKakRkURdBn0JgpoaEm9PlTM4GhRRIb1TGI2qE2eoWfg8odp6tjTvQzkMfZOod3e4uNW03tLlg1sgGbDrHIE31mvlcHBMxBk58VSHcQ=w408-h544-k-no,5,11,,
Highlands Coffee,Coffee shop,100000,"A classic, no-frills spot known for its strong, authentic Vietnamese coffee. A daily ritual stop for locals.",10.749993578557962,106.64578520184999,"110-112 Đ. Hậu Giang, District 6, Ho Chi Minh City",6:30 - 20:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwlVBejbKKia41wt8rTh8V6vwOxgT-bzvdABec3PJmu5iqSQmF5eR0Ff6m4hNQNjKVAjhEi1ZMvrcXSutJcqMUYvIZ0A6oenEVmAwsTnjl5PZxnzxTUReEqfN1oichUCVPC04So15jNnaZ_=w408-h544-k-no,4.2,98,https://www.highlandscoffee.com.vn/,+84 28 7107 2112
Chí Viễn Coffee Hậu Giang,Coffee shop,100000,"A beloved local cafe on Hậu Giang street, offering a familiar, down-to-earth atmosphere and traditional local brews.",10.749926319151887,106.64775619629998,"36 Đ. Hậu Giang, District 6, Ho Chi Minh City",6:00 - 21:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxK8Ador5HW6xIrOopk_70Fjgn9LVXQ-Nx9hgfsmKafdjYQiynB56bQZhSFUERrWNS1eukV6Dgkwo6pWL0IdxENRQNEvHqPRBmCDjTAXV0X4XRpXxwHsH0p8Sy4NNrMgpMsqdNnbQ=w426-h240-k-no,5,33,,
