name,description,lat,lon,address,opening_hours,image_url1,image_url2,rating,reviews,review_1,review_2,review_3
Vincom Center Dong Khoi,"Luxury mall in the heart of District 1, featuring many international brands.",10.777985941281125,106.70172396938602,"72 Le Thanh Ton, Ben Nghe Ward, District 1, HCMC",10:00 - 22:00,https://bizweb.dktcdn.net/100/439/851/files/vincom-center-dong-khoi.jpg?v=1732785984570,https://statics.vincom.com.vn/tin-tuc-su-kien/TCBC-Anh-8.JPG,4.5,15420,"""Best Zara and H&M stores in town.""","""The food court B3 is amazing.""","""Parking is expensive but convenient."""
Van Hanh Mall,"Largest mall in District 10, unique dome architecture, great for families.",10.771002847732829,106.66954242335473,"11 Su Van Hanh, Ward 12, District 10, HCMC",09:30 - 22:00,https://maisonoffice.vn/wp-content/uploads/2024/03/0-van-hanh-mall.jpg,https://i.ex-cdn.com/danviet.vn/files/content/2025/04/29/123029img_7844-1229.jpg,4.6,12890,"""Huge mall, great for families.""","""Love the CGV cinema here.""","""Design is beautiful, easy to navigate."""
Takashimaya (Saigon Centre),"Japanese standard, luxury shopping, high-end fashion, and excellent food court.",10.773151525263335,106.70065926753439,"65 Le Loi, Ben Nghe Ward, District 1, HCMC",09:30 - 21:30,https://9pmp.com/wp-content/uploads/2021/11/management-consulting-and-shopping-mall-tenant-coordination-6005-1.jpg,https://mia.vn/media/uploads/blog-du-lich/takashimaya-6-1733294689.jpg,4.7,18100,"""The sushi at the basement is top tier.""","""Very high-end brands, expensive.""","""Cleanest restrooms in the city."""
Landmark 81 Vincom Center,"Located in Vietnam's tallest building, features an observation deck and ice rink.",10.795225515263917,106.72176568199166,"720A Dien Bien Phu, Ward 22, Binh Thanh District, HCMC",10:00 - 22:00,https://vinhomecentralpark.com/wp-content/uploads/2025/03/Trung-tam-thuong-mai-Vincom-Landmark-81.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/The_Landmark_81_at_night.jpg,4.6,22500,"""The view from the observatory is epic.""","""Nice ice skating rink for kids.""","""Can be very crowded on weekends."""
Crescent Mall,"Spacious, international standard, located next to the Crescent Lake.",10.728554564375436,106.71875945898769,"101 Ton Dat Tien, Tan Phu Ward, District 7, HCMC",10:00 - 22:00,https://vanphuochouse.com/wp-content/uploads/2025/05/crescent-mall.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/94/14/e6/caption.jpg?w=900&h=500&s=1,4.5,9300,"""Peaceful vibe near the lake.""","""Good mix of shops and restaurants.""","""Great place for an evening walk."""
AEON Mall Tan Phu Celadon,"First Japanese AEON mall in HCMC, huge parking, very crowded on weekends.",10.801676738029624,106.61743256764012,"30 Bo Bao Tan Thang, Son Ky Ward, Tan Phu District, HCMC",10:00 - 22:00,https://aeonmall-vietnam.com/wp-content/uploads/2017/04/AM-Tan-Phu-Celadon-1.jpg,https://impresstravel.com/wp-content/uploads/2024/09/shop-smart-at-aeon-mall-affordable-shopping-2.jpg,4.6,35200,"""Food court is cheap and delicious.""","""Parking is free and huge.""","""Always crowded but service is good."""
AEON Mall Binh Tan,"Large mall in the West, integrated with supermarket, cinema, and entertainment.",10.742760230213424,106.61193089647604,"1 Street 17A, Binh Tri Dong B Ward, Binh Tan District, HCMC",10:00 - 22:00,https://corp.aeon.com.vn/wp-content/uploads/2022/06/aeon-mall-binh-tan.jpg,https://fujitecvn.com/uploads/project/2_1.jpg,4.6,28400,"""Great supermarket prices.""","""The toilet seats are high tech!""","""Good place to escape the heat."""
SC VivoCity,"Singaporean style, features a rooftop park and many family amenities.",10.730247911862882,106.70339750005742,"1058 Nguyen Van Linh, Distrete 7, HCMC",10:00 - 22:00,https://maisonoffice.vn/wp-content/uploads/2024/03/1-cam-nang-mua-sam-vui-choi-tai-vivo-city-quan-7.jpg,https://maisonoffice.vn/wp-content/uploads/2024/03/4-khong-gian-mua-sam-dang-cap-tai-sc-vivocity-quan-7.jpg,4.4,8150,"""Rooftop park is nice for kids.""","""Feels spacious and airy.""","""McDonalds here is 24h."""
Diamond Plaza,"Historic premium mall, prime location opposite Notre Dame Cathedral.",10.781039686696937,106.69849469647632,"34 Le Duan, Ben Nghe Ward, District 1, HCMC",09:30 - 22:00,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/85/a6/9a/caption.jpg?w=1200&h=-1&s=1,https://dichvu.esmart.vn/wp-content/uploads/2022/12/toa-nha-Diamond-Plaza.jpeg,4.3,6200,"""Great location near the Cathedral.""","""Bowling alley is fun.""","""A bit small compared to new malls."""
Gigamall Thu Duc,"High-tech entertainment complex, famous for JP World and dining options.",10.827688716386756,106.72162125056877,"242 Pham Van Dong, Hiep Binh Chanh Ward, Thu Duc City, HCMC",09:30 - 22:00,https://gigamall.com.vn/data/image/gigamall%20bai%20viet/Khai%20tr%C6%B0%C6%A1ng%20Gigamall_%20D%E1%BA%A5u%20%E1%BA%A5n%20c%C3%B4ng%20ngh%E1%BB%87%20c%E1%BB%A7a%20't%C3%A2n%20binh'%20b%C3%A1n%20l%E1%BA%BB/Gigamall%20day%201.jpg,https://gigamall.com.vn/data/image/gigamall%20bai%20viet/Nhung-Diem-Doc-Dao-Tai-Trung-Tam-Thuong-Mai-Gigamall/ANH-3-DAN-DEN-LED(1).jpg,4.5,14600,"""JP World lighting show is cool.""","""Lots of restaurants to choose from.""","""Good parking for motorbikes."""
Estella Place,"Boutique mall in District 2, eco-friendly green design, premium lifestyle.",10.801911546831434,106.74827557118927,"161 Hanoi Highway, Thao Dien Ward, District 2 (Thu Duc City), HCMC",09:30 - 22:00,"https://ik.imagekit.io/tvlk/blog/2025/03/EstellaPlace_Masthead-20230801-min-1-1024x576.jpg?tr=q-70,c-at_max,w-1000,h-600",https://mia.vn/media/uploads/blog-du-lich/estlla-place-gioi-thieu-1733673746.jpg,4.7,5400,"""Very green and relaxing atmosphere.""","""Starbucks here is nice.""","""Premium feel, good for expats."""
Vincom Mega Mall Thao Dien,"Large scale mall in Thao Dien area, features an ice rink and large cinema.",10.802400666784983,106.74099305414927,"161 Vo Nguyen Giap, Thao Dien, Thu Duc, HCMC",10:00 - 22:00,https://statics.vincom.com.vn/vincom-tttm/gioi_thieu/anh_bai_viet/DJI_0819_resize.jpg,https://thelandmark81.com.vn/wp-content/uploads/2025/10/mat-tien-hien-dai-cua-vincom-mega-mall-ho-chi-minh-city-tai-thao-dien.jpg,4.5,11200,"""Ice rink is the highlight.""","""Directly connected to Metro line.""","""Food court gets noisy."""
Thiso Mall Sala,"New mall in Sala urban area, features Emart hypermarket, modern design.",10.772046108570374,106.72103924235445,"10 Mai Chi Tho, Thu Thiem Ward, Thu Duc City, HCMC",10:00 - 22:00,https://thacogroup.vn/storage/truyen-thong/tin-tuc/thiso/2023/to-hop-thuong-mai-dich-vu-thiso-mall-sala-diem-den-all-in-one-tai-thu-thiem/untitled-1.jpg,https://mia.vn/media/uploads/blog-du-lich/thiso-mall-sala-noel-1733763556.jpg,4.5,4100,"""Emart pizza is a must try.""","""Very modern and new design.""","""Still filling up some empty stores."""
Hung Vuong Plaza,"Recently renovated (formerly Parkson), bustling hub in District 5.",10.756303691047416,106.66314792716706,"126 Hong Bang, Ward 12, District 5, HCMC",09:30 - 22:00,https://cdn.xanhsm.com/2025/03/e48f3a9f-hung-vuong-plaza-2.jpg,https://maisonoffice.vn/wp-content/uploads/2021/09/toa-nha-hung-vuong-plaza.jpg,4.2,7800,"""Recently renovated, looks better.""","""Good place for quick shopping.""","""Cinema seats are comfortable."""
Nowzone Fashion Mall,"Focused on young fashion and cosmetics, bordering Districts 1, 3, and 5.",10.76414182944634,106.6825330676398,"235 Nguyen Van Cu, Nguyen Cu Trinh Ward, District 1, HCMC",09:30 - 22:00,https://cdn.guland.vn/files/16371467936194e0a9d9b08.jpeg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiFq5ss4T5yasuD6XBpc3qQnRfrlNU3MtBgQ&s,4.3,6900,"""Great for teenagers shopping.""","""Food court on top is decent.""","""Lots of sales events usually."""
Lotte Mart District 7,"Hybrid supermarket and mall model, very popular with Korean tourists.",10.7409659711428,106.70180859647598,"469 Nguyen Huu Tho, Tan Hung Ward, District 7, HCMC",08:00 - 22:00,https://static.chotot.com/storage/chotot-kinhnghiem/nha/2024/11/b533e978-lotte-mart-nam-sai-gon-01.jpg,https://live.staticflickr.com/8879/17220734784_f3ba75065b_h.jpg,4.4,10500,"""Favorite place for Korean groceries.""","""Cinema has good popcorn.""","""First floor is very busy."""
Vincom Plaza Go Vap,"Serves the densely populated Go Vap area, located at a busy intersection.",10.826937589332344,106.68903205229473,"12 Phan Van Tri, Ward 7, Go Vap District, HCMC",10:00 - 22:00,https://statics.vincom.com.vn/vincom-tttm/gioi_thieu/anh_bai_viet/VC-Phan-Van-Tri.png,https://statics.vincom.com.vn/vincom-tttm/gioi_thieu/anh_bai_viet/VC-Phan-Van-Tri-9.jpg,4.2,9100,"""Traffic outside is terrible.""","""Good selection of local brands.""","""Convenient for Go Vap locals."""
Menas Mall Saigon Airport,"Located right at the Tan Son Nhat airport gateway, convenient for travelers.",10.813030288612905,106.66575933560046,"60A Truong Son, Ward 2, Tan Binh District, HCMC",09:30 - 22:00,https://maisonoffice.vn/wp-content/uploads/2021/09/van-phong-cho-thue-menas-mall.jpg,https://maisonoffice.vn/wp-content/uploads/2021/09/toa-nha-van-phong-menas-mall.jpg,4.0,3200,"""Good to kill time before flight.""","""Starbucks is quiet here.""","""A bit empty compared to others."""
Union Square,"Ultra-luxury mall opposite City Hall, classical French architecture.",10.776184932694484,106.70179199462167,"171 Dong Khoi, Ben Nghe Ward, District 1, HCMC",10:00 - 22:00,https://unionsquare.vn/wp-content/uploads/2022/06/about-us-slider-02.jpg,https://limkimhai.com.vn/wp-content/uploads/2022/07/UNION-SQUARE.jpg,4.6,2100,"""Architecture is stunning.""","""Only luxury brands here.""","""Great AC, very cold."""
Bitexco Financial Tower (Icon68),"Compact mall inside the lotus tower, mainly cafes and cinema.",10.771738728124962,106.70438580043961,"2 Hai Trieu, Ben Nghe Ward, District 1, HCMC",10:00 - 21:30,https://bitexco.com.vn/wp-content/uploads/2018/12/02-990x660.jpg,https://odinland.com/wp-content/uploads/2020/09/cho_thue_trung_tam_thuong_mai_icon68-1.jpg,4.3,8800,"""Cinema is boutique and nice.""","""Shops are limited but curated.""","""Iconic building of the city."""
